#        Em_x_FC[n.u.]          Em_y_FC[n.u.]          Em_z_FC[n.u.]          En_x_FC[n.u.]          En_y_FC[n.u.]          En_z_FC[n.u.]
 7.934942765572824e-02  5.069226144257577e-01  8.583315975277055e-01  1.709807235466304e-01  2.816912821711792e-01  9.441480888738948e-01
-1.770450374055125e-01  4.669454828879835e-01 -8.663815387810319e-01 -5.311257781645574e-01  3.120856565262208e-01 -7.877232704190547e-01
 1.188265337378922e-01 -3.948675136600829e-01 -9.110213507573475e-01 -1.101481798941781e-01  8.447198652535073e-02 -9.903190707839876e-01
-1.824373245530622e-01 -6.470956345179850e-01 -7.402593210474874e-01 -8.076225570256662e-01  5.896868465834524e-01 -3.902351827875337e-03
-8.640092173586147e-01 -4.673796000111412e-01  1.872014471439254e-01  1.687920338607015e-01  4.606095341179985e-01  8.714058218676120e-01
 5.328519970924498e-01 -8.459146824669550e-01  2.229572114596284e-02 -2.717785545041948e-01 -2.453165432297529e-01  9.305676820787487e-01
-5.796461266831093e-01  7.250540336804874e-02 -8.116362081029316e-01 -9.405715363144985e-01 -7.751776853469054e-02  3.306299754051139e-01
 3.748223465161837e-01 -8.316686037793858e-01  4.096773633479751e-01 -6.250111311435536e-01 -7.519560687234622e-01 -2.095785214582148e-01
 2.040761181958957e-01 -5.712914521867214e-01 -7.949710778641458e-01 -5.127326392609175e-01 -5.140208512953676e-02 -8.570082066589968e-01
 1.714278633309982e-01 -9.590294158627185e-01 -2.255550203027668e-01  1.792721719300239e-01  9.427296267113979e-01 -2.812869340941390e-01
-2.859015370002828e-01 -1.247642524101301e-01  9.501022010612423e-01 -3.557932751560896e-01 -7.415624715958656e-01 -5.687673039779398e-01
-2.526450722646707e-02  2.285362124543722e-02 -9.994195398683047e-01  8.288132627046066e-03 -9.380093133744517e-04 -9.999652128929708e-01
 1.029654586476900e-01 -8.938032275607779e-01  4.364789854361915e-01  1.733618509428247e-01 -3.832937865634621e-01 -9.072108585216123e-01
 5.988901341031525e-01 -4.118431390257248e-01  6.868157220909737e-01 -3.326830898235065e-01 -3.208121561671837e-01  8.867928293580453e-01
-4.212545026367278e-01  5.902208373265452e-01  6.886101997457160e-01  6.544481525966945e-01 -4.000626883606466e-01  6.415975848960358e-01
-7.581691034655785e-02 -9.422649705820724e-01  3.261725330549284e-01  1.529316486817238e-02 -4.458675943836068e-03 -9.998731116082394e-01
-5.395553034417679e-01  7.185320743909661e-01  4.388527459174396e-01  5.145016680187406e-02  4.000078660873557e-01 -9.150664387924515e-01
-3.653104849632319e-01 -3.956950977066774e-01  8.425993349313963e-01 -4.183955472716812e-01  1.192266083468299e-01  9.004055652234397e-01
-2.846605127528684e-01  2.440600679620579e-02 -9.583176609619264e-01 -4.924113538130694e-01 -2.843582983968848e-01  8.226003992029230e-01
-3.661640432365388e-01 -1.857706040928860e-01 -9.118186092066964e-01 -6.505947108122128e-01  4.602808742596582e-01  6.040430771509081e-01
 6.171464955788525e-01 -7.293879087577690e-01  2.951668706896317e-01 -6.594608140890053e-01  6.652620707982448e-01 -3.500540127441728e-01
 2.070678821198726e-01  2.030866135528144e-02 -9.781157653715367e-01  6.293864937137676e-01 -1.846368654170918e-01  7.548389692243241e-01
-5.554648574068766e-01 -1.156070595981460e-01  8.234645104417245e-01  4.131806682663999e-01 -8.587822292016289e-01  3.029435891026780e-01
-3.630466082889504e-01  5.278387285736473e-01  7.678433673788195e-01 -3.940731302253982e-02 -5.430423802216672e-01 -8.387800885592896e-01
 4.288302163694951e-02 -4.633532369811418e-01 -8.851354835472267e-01  1.599725749322510e-01  6.334680763642351e-01 -7.570514985765110e-01
 1.428526425588638e-01  5.176830964799470e-01 -8.435622882353639e-01 -4.037452837274226e-01  8.000055736950056e-01 -4.438252222719976e-01
-4.053079599426119e-01  5.635412866459736e-01 -7.198240589564638e-01 -1.287878136448675e-01 -3.233600245159439e-01  9.374710628076064e-01
 2.256040368649760e-01 -9.402806844604623e-01 -2.549020458544634e-01  7.716801789156226e-01 -6.250448307874890e-02 -6.329319798081079e-01
 6.289172361603509e-01  9.999929543146427e-02  7.710144298089603e-01  6.720938215704173e-01 -1.301715759266684e-01 -7.289343288854213e-01
 3.727868219621108e-01 -7.318807308355862e-01  5.704214066836532e-01  4.968499833384276e-02 -1.685862500253794e-01  9.844338866795201e-01
 6.703792493671462e-02  8.970827563565633e-01  4.367475756863340e-01  9.244889786713050e-01  1.274304697829090e-01 -3.592792836863750e-01
 3.594240204397577e-01  6.405294442133501e-01 -6.786283258357680e-01  6.024078107161392e-01  6.742617863487411e-01  4.271719478828084e-01
 5.286200781320084e-01 -8.472829529109782e-01 -5.169536441657519e-02 -1.545832227517750e-02 -8.623686839008660e-02  9.961547283443007e-01
 1.196398415817516e-01  9.455522057195184e-01  3.026835551615696e-01  8.244327793538099e-02  3.558106467811670e-01 -9.309145447141951e-01
 3.672531859174264e-01 -5.611462520500723e-01  7.417816263858638e-01  1.434768818359186e-01 -6.577887026367863e-01  7.394108513283094e-01
-1.974506444361316e-03 -3.754852602600127e-01  9.268262623878176e-01 -7.832069571946798e-01 -1.420510841468162e-01 -6.053167366714431e-01
 5.536562633038845e-03 -4.960832669851555e-03 -9.999723679249503e-01  2.933447068625978e-01 -5.525933462970667e-01 -7.801214498934809e-01
 4.308962915006517e-01  2.534108673133217e-01 -8.660896710494217e-01 -3.126607577556783e-01 -1.820937377552046e-01  9.322473498111882e-01
 6.143379457375463e-01 -2.179221064953933e-01  7.583527173601886e-01  5.103117239820778e-01  8.585944743123299e-01 -4.896399745500180e-02
-7.049409922520228e-02  9.972302952465750e-01  2.371329198690412e-02 -3.221729700986349e-01 -2.881735668614418e-02 -9.462421134632761e-01
-8.284998713258430e-01 -4.536422529507300e-01 -3.283240313331442e-01 -1.081055767156614e-01  2.182825276000256e-01 -9.698793339521770e-01
-4.923685235735004e-01 -7.845873109276301e-01 -3.768235509166082e-01 -7.397514476978192e-01 -5.331963204775677e-01  4.104503373834204e-01
 1.771072013249424e-01  8.041504612159779e-01 -5.674284756380987e-01 -7.391440746909658e-01  3.526094608665581e-01  5.738750778319540e-01
 1.517467798639726e-01 -4.015100197630061e-01 -9.031957810080965e-01  5.094830766963229e-02 -1.589168946072678e-03 -9.987000272792934e-01
-8.945407471033681e-01  4.231730808312058e-01  1.439492807608777e-01  1.698685061946666e-01  1.743751882623526e-01 -9.699164831683508e-01
 3.914095652518414e-01  8.661976498423886e-01  3.106447869140688e-01 -7.754463476121566e-01 -2.735404729176961e-01  5.690857331289632e-01
-9.140033573953744e-01 -1.141558282825434e-01 -3.893151802063592e-01 -7.744527211867926e-02 -5.409153375521863e-02  9.955281692661799e-01
 3.160530311015703e-01  4.602943452817629e-01 -8.296020716181602e-01  4.176271110047485e-01  4.963055987818110e-01  7.610968064390071e-01
 2.748736901317091e-01 -4.752385554956438e-01  8.358186225753713e-01 -3.026942067979255e-01  2.100462390892364e-01  9.296541263370168e-01
 2.015354668729785e-01 -9.747847709918614e-01 -9.580243125638763e-02  8.376161522476006e-01  5.343209935231739e-01  1.135792999376773e-01
-9.395893175123676e-01 -2.394329875493607e-01  2.446298405547262e-01 -3.094184422142885e-01 -1.169277931057053e-01 -9.437097640785076e-01
 8.457849360264801e-02  6.496850324348805e-02  9.942965211677086e-01 -4.732594595805447e-01 -8.627586422436972e-01  1.779691241517549e-01
 1.226874071686818e-01 -1.112168747148216e-01 -9.861940006413007e-01  5.088058212708519e-01  7.844637645770760e-01  3.545888299234140e-01
-1.257418734221361e-01 -7.404737087396570e-01 -6.602178942846286e-01  1.626923392945360e-01  7.562037726963652e-01  6.337878642689964e-01
-3.269620058461601e-01  4.996647080708120e-02 -9.437156343561023e-01  4.566096705645246e-01 -8.477740152630351e-01  2.697903404344703e-01
 8.194932222750247e-01 -1.755838180269242e-01 -5.455283507686698e-01 -5.413185315850356e-01  5.434451731526698e-01 -6.415930105134293e-01
 5.004470051734650e-01  3.065359498920177e-01  8.096842016716815e-01  8.297264493384885e-01  3.609096100311639e-01 -4.257913487323315e-01
 2.783630352501153e-02  3.552723722300758e-02  9.989809585879821e-01  3.561768116357288e-03 -2.619665058649977e-03 -9.999902255336628e-01
-3.145391514987783e-01 -9.859718809369999e-02  9.441100130146085e-01  3.995114869323791e-01 -3.982947984937937e-01 -8.256826420010703e-01
 2.676467612358336e-01  8.442489152970553e-01  4.643371406852078e-01 -7.372324616001076e-02 -8.596588763070118e-02  9.935666807716008e-01
-7.896155079449578e-02  7.028843068064818e-02  9.943966059920860e-01  4.775493799202796e-01  3.661518969430926e-01  7.986735115820052e-01
 3.386283647704725e-01  5.702177180509214e-01  7.484534618756706e-01  6.287146907050116e-01  5.914349749219201e-01  5.048985127040972e-01
 2.532463888896034e-01 -5.737560049428868e-02  9.656988697219727e-01  2.289012454337151e-01 -9.139235911806741e-01 -3.351833667148687e-01
 6.222829707705759e-01  1.167620700080688e-01 -7.740352209663185e-01 -7.896268028842864e-01  5.723115346628648e-01 -2.212442529390917e-01
 2.813475552119084e-01  4.782969080091256e-01  8.319108251280255e-01  2.206163611580802e-01  9.759938815518482e-02  9.704652392647050e-01
-9.076082068082664e-01 -2.744930702705807e-01 -3.176490159086178e-01  6.665821314810936e-01  5.807698360229125e-01 -4.673057452632499e-01
-4.743169134489302e-04 -9.649880639876964e-04  9.999994219105839e-01 -3.232564313607262e-01 -6.464177630239593e-02 -9.441010117251221e-01
 5.648907707623255e-03  9.152513737117594e-02 -9.957867437714253e-01  2.765421725004260e-01 -9.369216124537111e-01 -2.137810069811693e-01
-4.245820618184135e-01 -2.215044263763482e-01  8.778757667675477e-01  4.875738671972629e-01 -7.007518062406805e-01  5.207865494391437e-01
-2.314415557396382e-01  7.441853077936490e-01 -6.265963883880019e-01  1.543625745569879e-01  1.790595559672485e-01 -9.716531639391446e-01
-6.851793152782271e-01  7.021943021072642e-01 -1.935264013072944e-01 -1.617375510296082e-03  2.744984190941142e-01  9.615861906305075e-01
-9.218198098287813e-01 -3.901303446354876e-02 -3.856503874614617e-01 -6.538146545030286e-01  1.990597646198577e-01  7.300011011406574e-01
-8.687387755091545e-01 -4.950336729037544e-01  1.531674307004028e-02 -9.530243222636617e-02  2.049959695205918e-01  9.741119539827295e-01
-9.248693440108303e-01  2.318132381981912e-01  3.014619695833043e-01 -6.427750005438446e-01 -1.882834284284586e-01 -7.425561589907433e-01
-8.872941791950740e-01  2.184475377301227e-03 -4.611987290028734e-01  3.966611700933117e-01 -6.359255348759626e-01 -6.620110499326471e-01
 5.124327714701927e-01  3.286591414217100e-01 -7.933447065956397e-01  5.297502564505624e-01  3.592698980698222e-02  8.473924221952732e-01
-5.078413515807022e-01 -7.957309349195146e-01 -3.300143039881767e-01  6.607147048191143e-02  8.706897713133577e-01  4.873744791417077e-01
-8.005111378294751e-01  2.112072331731125e-01  5.608684541550876e-01  1.042072321330817e-01 -5.200133559295664e-01  8.477776609619010e-01
-8.426180624103864e-01 -5.325884271470245e-01 -7.965154216225057e-02 -4.030549827324431e-04 -6.230606790046959e-03 -9.999805083528922e-01
